name,level,mechanic,equipment,primary_muscles,secondary_muscles,instructions,category,images,tag,priority
Hammercurls Kurzhantel,Anfänger,Isolation,Kurzhanteln,"[""Brachialis"", ""Brachioradialis""]","[""Bizeps""]","[""Stehe aufrecht und halte in jeder Hand eine Kurzhantel mit den Handflächen zueinander."", ""Beuge die Arme und bringe die Kurzhanteln zu deinen Schultern."", ""Senke die Kurzhanteln langsam wieder ab.""]","[""Bizeps""]",[],"[""bizeps"", ""breit""]",1
Hammercurls Kabelzug,Fortgeschritten,Isolation,Kabelzugmaschine,"[""Brachialis"", ""Brachioradialis""]","[""Bizeps""]","[""Stelle dich vor eine Kabelzugmaschine und greife den Griff mit beiden Händen."", ""Beuge die Arme und bringe den Griff zu deinen Schultern."", ""Senke den Griff langsam wieder ab.""]","[""Bizeps""]",[],"[""bizeps"", ""breit""]",2
Reverse Curls,Anfänger,Isolation,Langhantel,"[""Brachialis"", ""Brachioradialis""]","[""Bizeps""]","[""Stehe aufrecht und halte eine Langhantel mit den Handflächen nach unten."", ""Beuge die Arme und bringe die Langhantel zu deinen Schultern."", ""Senke die Langhantel langsam wieder ab.""]","[""Bizeps""]",[],"[""bizeps"", ""breit""]",3
Cablecurls,Anfänger,Isolation,Kabelzugmaschine,"[""Bizeps""]","[""Brachialis""]","[""Stelle dich vor eine Kabelzugmaschine und greife die Stange mit beiden Händen."", ""Beuge die Arme und bringe die Stange zu deinen Schultern."", ""Senke die Stange langsam wieder ab.""]","[""Bizeps""]",[],"[""bizeps"", ""eng""]",1
Bizepscurls Kurzhantel,Anfänger,Isolation,Kurzhanteln,"[""Bizeps""]","[""Brachialis"", ""Brachioradialis""]","[""Stehe aufrecht und halte in jeder Hand eine Kurzhantel."", ""Beuge die Arme und bringe die Kurzhanteln zu deinen Schultern."", ""Senke die Kurzhanteln langsam wieder ab.""]","[""Bizeps""]",[],"[""bizeps"", ""eng""]",2
Bizepscurls Langhantel,Anfänger,Isolation,Langhantel,"[""Bizeps""]","[""Brachialis"", ""Brachioradialis""]","[""Stehe aufrecht und halte eine Langhantel mit beiden Händen."", ""Beuge die Arme und bringe die Langhantel zu deinen Schultern."", ""Senke die Langhantel langsam wieder ab.""]","[""Bizeps""]",[],"[""bizeps"", ""eng""]",3
Bizepscurls Gerät,Anfänger,Isolation,Bizepsmaschine,"[""Bizeps""]","[""Brachialis""]","[""Setze dich an die Bizepsmaschine und greife die Griffe mit beiden Händen."", ""Beuge die Arme und bringe die Griffe zu deinen Schultern."", ""Senke die Griffe langsam wieder ab.""]","[""Bizeps""]",[],"[""bizeps"", ""eng""]",4
Spidercurls,Fortgeschritten,Isolation,Langhantel,"[""Bizeps""]","[""Brachialis""]","[""Lege dich auf eine Schrägbank und halte eine Langhantel mit beiden Händen."", ""Beuge die Arme und bringe die Langhantel zu deinen Schultern."", ""Senke die Langhantel langsam wieder ab.""]","[""Bizeps""]",[],"[""bizeps"", ""eng""]",5
Überkopfstreckung,Anfänger,Isolation,Kabelzugmaschine,"[""Caput longum""]",[],"[""Stelle dich vor den Kabelzugturm und befestige den Seilgriff am oberen Kabelzug."", ""Greife den Seilgriff mit beiden Händen und stelle dich einen Schritt zurück."", ""Beuge dich leicht nach vorne und strecke die Arme über deinen Kopf."", ""Senke den Seilgriff hinter deinen Kopf ab."", ""Drücke das Seilgriff wieder nach oben, bis die Arme gestreckt sind."", ""Alternativ kannst du die Übung auch einarmig, ohne Seil, durchführen.""]","[""Trizeps""]",[],"[""trizeps"", ""groß""]",1
Skullcrusher,Fortgeschritten,Isolation,Langhantel,"[""Caput longum"", ""Caput laterale"", ""Caput mediale""]",[],"[""Lege dich auf eine Bank und halte eine Langhantel über deinem Kopf."", ""Senke die Langhantel kontrolliert hinter deinem Kopf ab, bis die Arme einen 90-Grad-Winkel bilden."", ""Drücke die Langhantel wieder nach oben, bis die Arme vollständig gestreckt sind.""]","[""Trizeps""]",[],"[""trizeps"", ""groß""]",2
Kickbacks,Fortgeschritten,Isolation,Kurzhantel,"[""Caput laterale"", ""Caput mediale""]",[],"[""Stütze dich mit einem Knie und einer Hand auf eine Bank und halte eine Kurzhantel in der anderen Hand."", ""Strecke den Arm nach hinten, bis er vollständig gestreckt ist."", ""Beuge den Arm wieder, bis er einen 90-Grad-Winkel bildet.""]","[""Trizeps""]",[],"[""trizeps"", ""groß""]",3
Überkopfstreckungen Kurzhantel,Anfänger,Isolation,Kurzhantel,"[""Caput longum""]",[],"[""Setze dich auf eine Bank und halte eine Kurzhantel mit beiden Händen über deinem Kopf."", ""Senke die Kurzhantel hinter deinem Kopf ab, bis die Arme einen 90-Grad-Winkel bilden."", ""Drücke die Kurzhantel wieder nach oben, bis die Arme vollständig gestreckt sind.""]","[""Trizeps""]",[],"[""trizeps"", ""groß""]",4
Trizepsdrücken am Kabelzug,Anfänger,Isolation,Kabelzugmaschine,"[""Caput longum"", ""Caput laterale"", ""Caput mediale""]",[],"[""Stelle dich vor die Kabelzugmaschine und greife die Stange mit beiden Händen."", ""Drücke die Stange nach unten, bis die Arme vollständig gestreckt sind."", ""Lasse die Stange langsam wieder nach oben gleiten, bis die Arme leicht gebeugt sind."", ""Wähle einen beliebigen Griff, deiner Vorwahl aus.""]","[""Trizeps""]",[],"[""trizeps"", ""klein""]",1
Trizeps Kabeldrücken einarmig,Fortgeschritten,Isolation,Kabelzugmaschine,"[""Caput longum"", ""Caput laterale"", ""Caput mediale""]",[],"[""Stelle dich vor die Kabelzugmaschine und greife den Einzelgriff mit einer Hand."", ""Drücke den Griff nach unten, bis der Arm vollständig gestreckt ist."", ""Lasse den Griff langsam wieder nach oben gleiten, bis der Arm leicht gebeugt ist.""]","[""Trizeps""]",[],"[""trizeps"", ""klein""]",2
Pushdowns Gerät,Anfänger,Isolation,Pushdown-Maschine,"[""Caput longum"", ""Caput laterale"", ""Caput mediale""]",[],"[""Setze dich an das Pushdown-Gerät und greife die Griffe mit beiden Händen."", ""Drücke die Griffe nach unten, bis die Arme vollständig gestreckt sind."", ""Lasse die Griffe langsam wieder nach oben gleiten, bis die Arme leicht gebeugt sind.""]","[""Trizeps""]",[],"[""trizeps"", ""klein""]",3
Enges Bankdrücken,Experte,Grundübung,Langhantel,"[""Caput longum"", ""Caput laterale"", ""Caput mediale""]","[""Pectoralis major"", ""Deltoideus anterior""]","[""Lege dich auf die Bank und greife die Langhantel schulterbreit."", ""Senke die Langhantel kontrolliert bis zur Brust ab."", ""Drücke die Langhantel explosiv nach oben, bis die Arme gestreckt sind.""]","[""Trizeps""]",[],"[""trizeps"", ""klein""]",4
Diamond Liegestütze,Anfänger,Grundübung,Körpergewicht,"[""Caput longum"", ""Caput laterale"", ""Caput mediale""]","[""Pectoralis major"", ""Deltoideus anterior""]","[""Lege dich mit den Händen unter der Brust in einer Diamantform auf den Boden."", ""Senke deinen Körper kontrolliert ab, bis die Brust den Boden fast berührt."", ""Drücke dich explosiv nach oben, bis die Arme gestreckt sind.""]","[""Trizeps""]",[],"[""trizeps"", ""klein""]",5
Crunches,Anfänger,Isolation,Körpergewicht,"[""Rectus abdominis""]","[""Obliques""]","[""Lege dich auf den Rücken und beuge die Knie, die Füße flach auf dem Boden."", ""Lege die Hände hinter den Kopf und hebe die Schulterblätter vom Boden ab."", ""Spanne die Bauchmuskeln an und ziehe den Oberkörper in Richtung der Knie.""]","[""Bauch""]",[],"[""bauch"", ""oberer""]",1
Situps,Anfänger,Isolation,Körpergewicht,"[""Rectus abdominis""]","[""Obliques""]","[""Lege dich auf den Rücken und beuge die Knie, die Füße flach auf dem Boden."", ""Lege die Hände hinter den Kopf und hebe den Oberkörper bis zu den Knien hoch."", ""Senke den Oberkörper langsam wieder ab.""]","[""Bauch""]",[],"[""bauch"", ""oberer""]",2
Situps Gerät,Anfänger,Isolation,Sitzbank,"[""Rectus abdominis""]","[""Obliques""]","[""Setze dich auf die Situps Bank und halte die Griffe fest."", ""Lehne dich nach hinten und spanne die Bauchmuskeln an, um dich wieder aufzurichten."", ""Senke dich langsam zurück in die Ausgangsposition.""]","[""Bauch""]",[],"[""bauch"", ""oberer""]",3
Crunches am Seil,Fortgeschritten,Isolation,Kabelzugmaschine,"[""Rectus abdominis""]","[""Obliques""]","[""Knie dich vor eine Kabelzugmaschine und halte das Seil über deinem Kopf."", ""Beuge den Oberkörper nach unten und ziehe das Seil in Richtung der Knie."", ""Strecke den Oberkörper langsam wieder aus.""]","[""Bauch""]",[],"[""bauch"", ""oberer""]",4
Beinhebens,Fortgeschritten,Isolation,Körpergewicht,"[""Rectus abdominis""]","[""Hip flexors""]","[""Lege dich auf den Rücken und hebe die Beine leicht an."", ""Hebe die Beine gerade nach oben, bis sie senkrecht zum Boden sind."", ""Senke die Beine langsam wieder ab, ohne den Boden zu berühren.""]","[""Bauch""]",[],"[""bauch"", ""unterer""]",1
Beinhebe Maschine,Anfänger,Isolation,Beinhebe-Maschine,"[""Rectus abdominis""]","[""Hip flexors""]","[""Lege dich auf die Beinhebe-Maschine und greife die Griffe."", ""Hebe die Beine gerade nach oben, bis sie senkrecht zum Boden sind."", ""Senke die Beine langsam wieder ab, ohne den Boden zu berühren.""]","[""Bauch""]",[],"[""bauch"", ""unterer""]",2
Plank,Anfänger,Isolation,Körpergewicht,"[""Rectus abdominis"", ""Transversus abdominis""]","[""Obliques"", ""Erector spinae""]","[""Lege dich auf den Boden und stütze dich auf die Unterarme und Zehenspitzen."", ""Halte den Körper in einer geraden Linie von Kopf bis Fuß."", ""Spanne die Bauchmuskeln an und halte diese Position.""]","[""Bauch""]",[],"[""bauch"", ""core""]",1
Fahrrad crunches,Fortgeschritten,Isolation,Körpergewicht,"[""Rectus abdominis""]","[""Obliques""]","[""Lege dich auf den Rücken und hebe die Beine an."", ""Berühre abwechselnd mit dem Ellbogen das gegenüberliegende Knie."", ""Strecke dabei das andere Bein aus.""]","[""Bauch""]",[],"[""bauch"", ""core""]",2
